jun 23 21:25:04 AsusLaptop tlp[38520]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 21:25:40 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:26:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:27:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:28:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:29:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:30:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:31:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:32:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:33:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:34:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:35:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:36:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:37:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:38:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:39:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:40:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:41:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:42:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:43:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:44:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:45:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:46:41 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:47:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:48:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:49:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:50:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:51:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:52:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:53:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:54:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:55:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:56:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:57:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:58:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 21:59:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:00:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:01:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:02:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:03:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:04:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:05:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:06:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:07:42 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:08:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:09:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:10:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:11:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:12:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:13:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:14:41 AsusLaptop tlp[39778]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 22:14:41 AsusLaptop tlp[39871]: Error: TLP's power saving will not apply on boot because tlp.service is not enabled --> Invoke 'systemctl enable tlp.service' to ensure the full functionality of TLP.
jun 23 22:14:43 AsusLaptop bluetoothd[659]: src/profile.c:record_cb() Unable to get Hands-Free Voice gateway SDP record: Host is down
jun 23 22:14:57 AsusLaptop kernel: ACPI Error: No installed handler for fixed event - PowerButton (2), disabling (20240827/evevent-255)
jun 23 23:01:48 AsusLaptop kernel: nvme nvme0: failed to set APST feature (2)
jun 23 23:01:49 AsusLaptop bluetoothd[659]: src/adv_monitor.c:btd_adv_monitor_power_down() Unexpected NULL btd_adv_monitor_manager object upon power down
jun 23 23:02:33 AsusLaptop bluetoothd[659]: src/profile.c:ext_io_disconnected() Unable to get io data for Hands-Free Voice gateway: getpeername: Transport endpoint is not connected (107)
jun 23 23:02:33 AsusLaptop kernel: Bluetooth: hci0: unexpected event for opcode 0xfc19
jun 23 23:04:29 AsusLaptop kernel: rtw_8821ce 0000:02:00.0: failed to send h2c command
jun 23 23:10:53 AsusLaptop kernel: rtw_8821ce 0000:02:00.0: failed to send h2c command
jun 23 23:14:09 AsusLaptop kernel: rtw_8821ce 0000:02:00.0: failed to send h2c command
jun 23 23:19:53 AsusLaptop sudo[43335]: pam_unix(sudo:auth): conversation failed
jun 23 23:19:53 AsusLaptop sudo[43335]: pam_unix(sudo:auth): auth could not identify password for [nicolas]
jun 23 23:31:55 AsusLaptop kernel: rtw_8821ce 0000:02:00.0: failed to send h2c command
jun 23 23:49:27 AsusLaptop kernel: rtw_8821ce 0000:02:00.0: failed to send h2c command
jun 23 23:54:29 AsusLaptop kernel: rtw_8821ce 0000:02:00.0: failed to send h2c command
